x,y
0,-0.15506685904730916
1,-0.13986422580737687
2,-0.1499993146339984
3,-0.12770211921543106
4,-0.14493177022068762
5,-0.15709387681263345
6,-0.16114791234328205
7,-0.18344510776184939
8,-0.17026949228724142
9,-0.16824247452191712
10,-0.19256668770580876
11,-0.15303984128198483
12,-0.154053350164647
13,-0.2138503742417139
14,-0.2331070430122948
15,-0.25135020290021354
16,-0.2726338894361187
17,-0.274660907201443
18,-0.25844476507884856
19,-0.2766879249667673
20,-0.29290406708936173
21,-0.2868230137933888
22,-0.2969581026200103
23,-0.28986354044137524
24,-0.2726338894361187
25,-0.28986354044137524
26,-0.2999986292679968
27,-0.28580950491072665
28,-0.3020256470333211
29,-0.321282315803902
30,-0.361822671110388
31,-0.3891874109422661
32,-0.44999794390199516
33,-0.4854707547951705
34,-0.32939038686519917
35,-0.07601316619966135
36,0.37499828658499595
37,0.7834423662978429
38,0.7611451708792756
39,0.17026949228724142
40,-0.3699307421716852
41,-0.41857916853946847
42,-0.3344579312785099
43,-0.3344579312785099
44,-0.33749845792649635
45,-0.3121607358599426
46,-0.32330933356922625
47,-0.33648494904383425
48,-0.33749845792649635
49,-0.3344579312785099
50,-0.33040389574786133
51,-0.32634986021721274
52,-0.34662003787045575
53,-0.34053898457448284
54,-0.3111472269772804
55,-0.32330933356922625
56,-0.33648494904383425
57,-0.3395254756918207
58,-0.35472810893175294
59,-0.34357951122246927
60,-0.32634986021721274
61,-0.34256600233980716
62,-0.3324309135131856
63,-0.32634986021721274
64,-0.33648494904383425
65,-0.3354714401611721
66,-0.3395254756918207
67,-0.3557416178144151
68,-0.34256600233980716
69,-0.3243228424518884
70,-0.33749845792649635
71,-0.3354714401611721
72,-0.33648494904383425
73,-0.3496605645184422
74,-0.3456065289877936
75,-0.3324309135131856
76,-0.3456065289877936
77,-0.34662003787045575
78,-0.3324309135131856
79,-0.34864705563578
80,-0.35472810893175294
81,-0.34053898457448284
82,-0.34864705563578
83,-0.36384968887571234
84,-0.3597956533450637
85,-0.37398477770233385
86,-0.37398477770233385
87,-0.35472810893175294
88,-0.3729712688196717
89,-0.3689172332890231
90,-0.3597956533450637
91,-0.36689021552369877
92,-0.3557416178144151
93,-0.321282315803902
94,-0.33749845792649635
95,-0.3182417891559155
96,-0.29594459373734816
97,-0.29290406708936173
98,-0.28580950491072665
99,-0.25743125619618645
100,-0.2533772206655378
101,-0.25844476507884856
102,-0.23412055189495695
103,-0.2503366940175514
104,-0.2503366940175514
105,-0.24830967625222708
106,-0.25236371178287564
107,-0.2503366940175514
108,-0.2604717828441729
109,-0.26148529172683505
110,-0.26857985390547007
111,-0.2635123094921593
112,-0.2837824871454024
113,-0.27770143384942947
114,-0.2665528361401458
115,-0.2837824871454024
116,-0.27871494273209163
117,-0.26756634502280796
118,-0.2837824871454024
119,-0.2837824871454024
120,-0.27871494273209163
121,-0.2979716115026725
122,-0.3010121381506589
123,-0.3010121381506589
124,-0.3111472269772804
125,-0.294931084854686
126,-0.2847959960280645
127,-0.29898512038533465
128,-0.2979716115026725
129,-0.2969581026200103
130,-0.3162147713905912
131,-0.31317424474260475
132,-0.2939175759720239
133,-0.32634986021721274
134,-0.3162147713905912
135,-0.3020256470333211
136,-0.32330933356922625
137,-0.3253363513345506
138,-0.30912020921195615
139,-0.30607968256396967
140,-0.30506617368130756
141,-0.29594459373734816
142,-0.3020256470333211
143,-0.30303915591598324
144,-0.2837824871454024
145,-0.30709319144663183
146,-0.30709319144663183
147,-0.287836522676051
148,-0.274660907201443
149,-0.274660907201443
150,-0.2564177473135243
151,-0.24628265848690276
152,-0.21790440977236253
153,-0.20067475876710594
154,-0.21790440977236253
155,-0.22601248083365974
156,-0.22398546306833544
157,-0.23006651636430833
158,-0.24020160519092987
159,-0.220944936420349
160,-0.21283686535905177
161,-0.27770143384942947
162,-0.29898512038533465
163,-0.32736336909987485
164,-0.32634986021721274
165,-0.31520126250792907
166,-0.32736336909987485
167,-0.34357951122246927
168,-0.34256600233980716
169,-0.35067407340110435
170,-0.34053898457448284
171,-0.3253363513345506
172,-0.34256600233980716
173,-0.34662003787045575
174,-0.3222958246865641
175,-0.35270109116642867
176,-0.36384968887571234
177,-0.41857916853946847
178,-0.4763491748512111
179,-0.5341191811629538
180,-0.4165521507741442
181,-0.16925598340457926
182,0.22601248083365974
183,0.7226318333381139
184,0.9385092253451521
185,0.7560776264659649
186,0.1662154567565928
187,-0.2807419604974159
188,-0.44999794390199516
189,-0.45911952384595456
190,-0.3932414464729147
191,-0.3891874109422661
192,-0.38209284876363103
193,-0.38411986652895536
194,-0.3912144287075904
195,-0.3800658309983067
196,-0.39425495535557686
197,-0.41148460636083345
198,-0.3932414464729147
199,-0.4003360086515498
200,-0.3851333754116175
201,-0.38411986652895536
202,-0.40540355306486053
203,-0.40641706194752264
204,-0.3891874109422661
205,-0.4074305708301848
206,-0.4074305708301848
207,-0.4074305708301848
208,-0.4135116241261577
209,-0.40439004418219837
210,-0.3932414464729147
211,-0.4033765352995362
212,-0.39830899088622546
213,-0.3831063576462932
214,-0.40439004418219837
215,-0.39830899088622546
216,-0.3800658309983067
217,-0.3993224997688876
218,-0.4033765352995362
219,-0.3851333754116175
220,-0.40439004418219837
221,-0.4135116241261577
222,-0.39628197312090113
223,-0.4165521507741442
224,-0.4175656596568063
225,-0.41553864189148204
226,-0.4266872396007657
227,-0.4327682928967386
228,-0.42263320407011706
229,-0.4479709261366709
230,-0.448984435019333
231,-0.4408763639580358
